TransactionID,CustomerType,ProductCategory,Product,Quantity,PricePerUnit,TotalAmount,PaymentMethod,StoreLocation,Date,WeatherCondition,TrafficStatus,StoreMusicPlaying,EmployeeOnDuty,NearbyEvents
TX00025,Member,Frozen Foods,French Fries,5.0,,5631.7,Cash,Bhairahawa,2024-01-02 00:00:00,Snowy,Light,Rock,Michael,None
TX00026,Guest,Snacks,Pretzels,4.0,1138.65,4554.6,Debit Card,Bhairahawa,2024-01-02 01:00:00,Snowy,Moderate,Classical,John,Political Rally
TX00027,Guest,Sports & Fitness,Dumbbells,3.0,1772.95,5318.85,Debit Card,Pokhara,2024-01-02 02:00:00,Sunny,Moderate,Classical,Sarah,Concert
TX00028,Regular,Sports & Fitness,Cricket Bat,4.0,1272.15,5088.6,Debit Card,Bhairahawa,2024-01-02 03:00:00,Windy,Light,No Music,David,Concert
TX00029,Guest,,Baguette,,839.82,2519.46,Credit Card,Pokhara,2024-01-02 04:00:00,,Moderate,Classical,David,
TX00030,Regular,Grocery,Salt,3.0,1048.08,,Mobile Payment,Kathmandu,2024-01-02 05:00:00,Snowy,Moderate,Jazz,John,Political Rally
TX00031,Regular,Dairy Products,Cheese,,1256.94,2513.88,Mobile Payment,Biratnagar,2024-01-02 06:00:00,Rainy,Heavy,Jazz,Sarah,Sports Event
TX00032,Member,Sports & Fitness,Swimming Goggles,4.0,749.43,2997.72,Cash,Kathmandu,2024-01-02 07:00:00,Cloudy,Heavy,Classical,Emily,Festival
TX00033,Regular,Toys & Games,Action Figure,4.0,1234.29,4937.16,Cash,Biratnagar,2024-01-02 08:00:00,Snowy,Moderate,Rock,Emily,Sports Event
TX00034,Regular,Grocery,Salt,490.0,829.83,406616.7,Debit Card,,2024-01-02 09:00:00,Cloudy,Heavy,Classical,John,Festival
TX00035,Member,Grocery,Tea,5.0,456.55,2282.75,Mobile Payment,Biratnagar,2024-01-02 10:00:00,Cloudy,Light,Jazz,John,Sports Event
TX00036,Guest,Fresh Produce,Potato,2.0,1336.35,2672.7,Debit Card,Chitwan,2024-01-02 11:00:00,Rainy,Heavy,No Music,Sarah,None
TX00037,Regular,Beverages,Milkshake,1.0,872.71,872.71,Cash,,2024-01-02 12:00:00,Cloudy,Light,Classical,John,Festival
TX00038,Member,Fresh Produce,Carrot,4.0,329.86,1319.44,Debit Card,Pokhara,2024-01-02 13:00:00,Windy,Light,Rock,Sarah,Political Rally
TX00039,Member,Grocery,Sugar,5.0,1133.72,5668.6,Debit Card,Bhairahawa,2024-01-02 14:00:00,Cloudy,,Pop,David,None
TX00040,Member,Fresh Produce,Tomato,4.0,913.78,3655.12,Mobile Payment,Chitwan,2024-01-02 15:00:00,Cloudy,Moderate,Rock,David,Festival
TX00041,Regular,Electronics,Camera,5.0,1790.68,,Credit Card,Biratnagar,2024-01-02 16:00:00,Sunny,Moderate,,John,Festival
TX00042,Member,Electronics,Television,2.0,809.77,1619.54,Cash,Biratnagar,2024-01-02 17:00:00,Snowy,Moderate,Pop,Michael,Political Rally
TX00043,Guest,Sports & Fitness,Tennis Racket,4.0,503.52,,,Kathmandu,2024-01-02 18:00:00,Snowy,Heavy,No Music,Michael,Sports Event
TX00044,Member,Electronics,Headphones,5.0,391.67,1958.3500000000001,Cash,,2024-01-02 19:00:00,Windy,Light,No Music,Sarah,Political Rally
TX00045,Regular,Personal Care,Cotton Swabs,3.0,,4447.950000000001,Debit Card,,2024-01-02 20:00:00,Snowy,Moderate,Jazz,Michael,Sports Event
TX00046,Member,Dairy Products,Milk,4.0,,3281.24,Debit Card,Pokhara,2024-01-02 21:00:00,Cloudy,Light,,,Political Rally
TX00047,Regular,Personal Care,Toothpaste,1.0,1927.45,1927.45,Credit Card,Biratnagar,2024-01-02 22:00:00,Rainy,Light,No Music,Emily,Festival
TX00048,Regular,Sports & Fitness,Tennis Racket,1.0,1328.24,1328.24,Credit Card,,2024-01-02 23:00:00,Cloudy,Heavy,Jazz,John,Concert
TX00049,Regular,Personal Care,Shaving Cream,3.0,1010.94,3032.82,Cash,Kathmandu,2024-01-03 00:00:00,Snowy,Moderate,Classical,Emily,Political Rally
TX00050,Guest,Grocery,Sugar,3.0,199.41,598.23,Mobile Payment,Biratnagar,2024-01-03 01:00:00,Rainy,Light,Classical,David,Festival
TX00051,Regular,Grocery,Rice,,899.04,899.04,Credit Card,Kathmandu,2024-01-03 02:00:00,Rainy,Heavy,No Music,John,None
TX00052,Regular,Meat & Seafood,Turkey,1.0,1789.72,1789.72,Debit Card,Kathmandu,2024-01-03 03:00:00,Sunny,Moderate,,Michael,Sports Event
TX00053,Guest,Clothing,Dress,5.0,628.71,3143.55,Cash,Chitwan,2024-01-03 04:00:00,Rainy,Light,Jazz,Emily,Concert
TX00054,Member,Clothing,Shirt,4.0,N/A,N/A,Debit Card,Chitwan,2024-01-03 05:00:00,Cloudy,Moderate,Classical,Michael,Sports Event
TX00055,Guest,Personal Care,Deodorant,3.0,1051.26,3153.7799999999997,Cash,Biratnagar,2024-01-03 06:00:00,Snowy,Heavy,Rock,Emily,Political Rally
TX00056,Member,Dairy Products,Condensed Milk,3.0,1819.85,5459.549999999999,Mobile Payment,Bhairahawa,2024-01-03 07:00:00,Cloudy,Moderate,,David,Festival
TX00057,Member,Grocery,Pasta,3.0,588.14,1764.42,Debit Card,,2024-01-03 08:00:00,Sunny,Light,Rock,David,Concert
TX00058,Member,Snacks,Chips,1.0,108.56,108.56,Cash,Pokhara,2024-01-03 09:00:00,Snowy,Moderate,Jazz,Emily,None
TX00059,Member,Household Items,Dustpan,2.0,961.14,1922.28,Cash,Pokhara,,Snowy,,Jazz,Emily,Festival
TX00060,Regular,Fresh Produce,Carrot,2.0,1108.5,2217.0,Cash,,2024-01-03 11:00:00,Rainy,Light,Rock,Michael,Festival
TX00061,Member,Beverages,Energy Drink,2.0,1584.31,3168.62,Debit Card,Biratnagar,2024-01-03 12:00:00,Snowy,Moderate,Classical,David,Concert
TX00062,Guest,Sports & Fitness,Tennis Racket,3.0,1169.46,3508.38,Cash,Pokhara,2024-01-03 13:00:00,Sunny,Heavy,Classical,David,None
TX00063,Guest,Clothing,Scarf,1.0,1280.92,1280.92,Cash,Biratnagar,2024-01-03 14:00:00,Cloudy,Heavy,Pop,David,Concert
TX00064,Guest,Electronics,Television,2.0,1718.81,3437.62,Debit Card,Kathmandu,2024-01-03 15:00:00,Windy,Heavy,Rock,David,Sports Event
TX00065,Member,Clothing,Hat,2.0,115.35,230.7,Mobile Payment,,2024-01-03 16:00:00,Windy,Heavy,Jazz,John,Sports Event
TX00066,Member,Meat & Seafood,,1.0,459.58,459.58,Debit Card,Biratnagar,2024-01-03 17:00:00,Snowy,Moderate,Classical,Emily,
TX00067,Guest,Toys & Games,Toy Car,1.0,1530.13,1530.13,Cash,Pokhara,2024-01-03 18:00:00,Cloudy,Moderate,Classical,John,Concert
TX00068,Member,,Bun,3.0,978.83,2936.4900000000002,Credit Card,Chitwan,2024-01-03 19:00:00,,Light,Jazz,Sarah,Political Rally
TX00069,Guest,Snacks,Granola Bars,,1268.61,6343.049999999999,Mobile Payment,Chitwan,2024-01-03 20:00:00,Snowy,,Jazz,David,Festival
TX00070,Guest,Snacks,Chocolate,2.0,933.12,,Debit Card,Biratnagar,2024-01-03 21:00:00,Snowy,Light,Classical,David,Political Rally
TX00071,Guest,Toys & Games,Frisbee,4.0,1769.72,7078.88,Cash,Bhairahawa,2024-01-03 22:00:00,Rainy,Moderate,Jazz,Sarah,Concert
TX00072,Guest,Electronics,Power Bank,1.0,575.59,575.59,,Bhairahawa,2024-01-03 23:00:00,Rainy,,Classical,Emily,Sports Event
TX00073,Member,Dairy Products,Paneer,5.0,847.09,4235.45,Mobile Payment,Kathmandu,2024-01-04 00:00:00,Snowy,Moderate,Jazz,Emily,Festival
TX00074,Regular,Toys & Games,Action Figure,5.0,1967.58,9837.9,Credit Card,Chitwan,2024-01-04 01:00:00,Sunny,Light,Rock,David,Festival
TX00075,Guest,Fresh Produce,Spinach,,,4104.8099999999995,Debit Card,Bhairahawa,2024-01-04 02:00:00,Rainy,Light,Pop,Sarah,
TX00076,Member,Beverages,Iced Tea,4.0,936.43,3745.72,Debit Card,Biratnagar,2024-01-04 03:00:00,Snowy,Light,Jazz,Michael,Sports Event
TX00077,Regular,Frozen Foods,Frozen Dumplings,2.0,1335.26,2670.52,Credit Card,Biratnagar,2024-01-04 04:00:00,Snowy,Light,Rock,John,Concert
TX00078,Guest,Bakery,Bagel,1.0,990.73,990.73,Debit Card,Bhairahawa,2024-01-04 05:00:00,Sunny,Heavy,Jazz,John,
TX00079,Guest,Stationery,Pencil,5.0,1516.18,7580.900000000001,Credit Card,Kathmandu,2024-01-04 06:00:00,Windy,Moderate,Jazz,Michael,Sports Event
TX00080,Regular,Stationery,Marker,3.0,782.05,2346.1499999999996,Debit Card,Biratnagar,2024-01-04 07:00:00,Snowy,Heavy,Pop,Emily,
TX00081,Guest,Dairy Products,Yogurt,5.0,1543.8,7719.0,Cash,Pokhara,2024-01-04 08:00:00,Cloudy,Heavy,Classical,Sarah,Festival
TX00082,Member,Electronics,Bluetooth Speaker,2.0,778.17,1556.34,Cash,Biratnagar,2024-01-04 09:00:00,Rainy,Moderate,Pop,John,Political Rally
TX00083,Member,Household Items,Detergent,1.0,1785.44,1785.44,Cash,Bhairahawa,2024-01-04 10:00:00,Windy,Light,Jazz,Emily,Concert
TX00084,Member,Household Items,Dish Soap,4.0,441.35,1765.4,,Bhairahawa,2024-01-04 11:00:00,Sunny,Moderate,,Emily,Concert
TX00085,Guest,Fresh Produce,Potato,3.0,1414.0,4242.0,,Biratnagar,2024-01-04 12:00:00,Cloudy,Moderate,Pop,Michael,None
TX00086,Guest,Sports & Fitness,Cricket Bat,2.0,1565.11,3130.22,Cash,Chitwan,,Rainy,Heavy,No Music,Michael,None
TX00087,Member,Beverages,Energy Drink,5.0,1156.75,5783.75,Mobile Payment,Pokhara,2024-01-04 14:00:00,Snowy,Moderate,Jazz,John,None
TX00088,Regular,Toys & Games,Board Game,5.0,954.2,,Debit Card,Kathmandu,2024-01-04 15:00:00,Snowy,Heavy,Pop,Michael,Concert
TX00089,Member,Meat & Seafood,Fish Fillet,2.0,1934.66,3869.32,Cash,Chitwan,2024-01-04 16:00:00,Snowy,Moderate,No Music,Sarah,Sports Event
TX00090,Guest,Toys & Games,Board Game,4.0,1883.31,7533.24,Cash,Chitwan,2024-01-04 17:00:00,Rainy,Heavy,Classical,John,Political Rally
TX00091,Regular,Beverages,Coffee,1.0,1102.6,1102.6,Cash,Chitwan,2024-01-04 18:00:00,Snowy,Heavy,Rock,David,Sports Event
TX00092,Guest,Beverages,Mineral Water,,610.8,610.8,Credit Card,Chitwan,2024-01-04 19:00:00,Cloudy,,Pop,John,Festival
TX00093,Guest,Dairy Products,Cheese,1.0,102.83,102.83,Cash,Pokhara,2024-01-04 20:00:00,Snowy,,Jazz,,Festival
TX00094,Guest,Dairy Products,Cheese,1.0,229.79,229.79,Credit Card,Biratnagar,2024-01-04 21:00:00,Cloudy,,Classical,John,Sports Event
TX00095,Guest,Dairy Products,Condensed Milk,2.0,678.39,1356.78,Mobile Payment,Biratnagar,2024-01-04 22:00:00,Cloudy,Moderate,Pop,,None
TX00096,,Bakery,Pastry,5.0,1979.62,9898.099999999999,Debit Card,Pokhara,2024-01-04 23:00:00,Sunny,Heavy,Classical,Michael,Festival
TX00097,,Stationery,,3.0,1387.32,4161.96,Mobile Payment,Pokhara,2024-01-05 00:00:00,Sunny,Light,Pop,Emily,Sports Event
TX00098,Member,Beverages,Milkshake,4.0,1449.46,5797.84,Credit Card,Kathmandu,2024-01-05 01:00:00,Snowy,Heavy,Classical,John,None
TX00099,Regular,Fresh Produce,Carrot,5.0,568.61,2843.05,Mobile Payment,Chitwan,2024-01-05 02:00:00,Snowy,Moderate,Jazz,Sarah,Concert
TX00100,Guest,Personal Care,Lotion,1.0,248.77,248.77,Mobile Payment,Pokhara,2024-01-05 03:00:00,Windy,Light,Rock,David,Sports Event
TX00101,,Bakery,Pastry,5.0,556.28,2781.3999999999996,Mobile Payment,Kathmandu,2024-01-05 04:00:00,Rainy,Heavy,Rock,David,None
TX00102,,Personal Care,Face Wash,2.0,1463.35,2926.7,Cash,Biratnagar,2024-01-05 05:00:00,Sunny,Light,,John,Concert
TX00103,Regular,Frozen Foods,Ice Cream,5.0,250.17,1250.85,Cash,Chitwan,2024-01-05 06:00:00,Cloudy,,No Music,John,Sports Event
TX00104,Regular,Household Items,,2.0,658.75,1317.5,Cash,Kathmandu,2024-01-05 07:00:00,Cloudy,Moderate,Jazz,Michael,Concert
TX00105,Guest,,Coffee,3.0,1442.39,4327.17,Cash,Biratnagar,2024-01-05 08:00:00,,Light,No Music,Michael,Concert
TX00106,Regular,Personal Care,Lotion,1.0,1597.13,1597.13,Debit Card,Chitwan,2024-01-05 09:00:00,Sunny,Moderate,Jazz,Sarah,Political Rally
TX00107,Regular,Electronics,Power Bank,3.0,1254.61,3763.83,Credit Card,Pokhara,2024-01-05 10:00:00,Windy,Heavy,Classical,Emily,Sports Event
TX00108,Member,Bakery,Pastry,290.0,,,Debit Card,Chitwan,2024-01-05 11:00:00,Sunny,Heavy,Rock,Michael,Concert
TX00109,,Grocery,Salt,4.0,1785.61,7142.44,Debit Card,Pokhara,,Snowy,Light,Classical,Emily,Concert
TX00110,Regular,Frozen Foods,Ice Cream,4.0,303.46,1213.84,Debit Card,Bhairahawa,2024-01-05 13:00:00,Snowy,Moderate,Jazz,John,Concert
TX00111,Regular,Snacks,Pretzels,5.0,747.24,3736.2,Credit Card,Pokhara,2024-01-05 14:00:00,Windy,Heavy,Jazz,David,Concert
TX00112,Regular,Dairy Products,Cheese,2.0,1324.33,,,Chitwan,2024-01-05 15:00:00,Snowy,Moderate,Classical,,Festival
TX00113,Regular,Frozen Foods,Ice Cream,3.0,1243.09,3729.2699999999995,Credit Card,Pokhara,2024-01-05 16:00:00,Cloudy,Heavy,Jazz,Emily,None
TX00114,Regular,Clothing,,4.0,1361.95,5447.8,Debit Card,Pokhara,2024-01-05 17:00:00,Windy,Light,,Sarah,None
TX00115,Guest,Fresh Produce,Onion,5.0,1881.85,9409.25,Mobile Payment,Pokhara,2024-01-05 18:00:00,Windy,Moderate,Pop,Sarah,Concert
TX00116,Member,Snacks,Candy,1.0,1511.88,1511.88,Mobile Payment,Biratnagar,2024-01-05 19:00:00,Rainy,Light,Rock,David,Concert
TX00117,Guest,Personal Care,Hair Gel,3.0,504.38,1513.1399999999999,Mobile Payment,Kathmandu,2024-01-05 20:00:00,Windy,Light,No Music,Sarah,Concert
TX00118,Member,Dairy Products,,5.0,169.47,847.35,Credit Card,Bhairahawa,2024-01-05 21:00:00,Windy,Heavy,Classical,,None
TX00119,,Toys & Games,Stuffed Animal,4.0,809.88,3239.52,Debit Card,Pokhara,2024-01-05 22:00:00,Windy,Heavy,Jazz,David,Festival
TX00120,Member,Sports & Fitness,Dumbbells,3.0,1266.97,3800.91,Mobile Payment,Kathmandu,2024-01-05 23:00:00,Snowy,Light,Classical,Sarah,Concert
TX00121,Regular,Dairy Products,Butter,1.0,1962.2,1962.2,Credit Card,Bhairahawa,2024-01-06 00:00:00,Sunny,,Classical,Emily,Political Rally
TX00122,Regular,Beverages,Wine,3.0,1924.4,5773.200000000001,Mobile Payment,Pokhara,2024-01-06 01:00:00,Rainy,Light,Classical,Michael,None
TX00123,Regular,Bakery,Pastry,1.0,1753.75,1753.75,Credit Card,Biratnagar,2024-01-06 02:00:00,Snowy,Light,Pop,David,None
TX00124,Regular,Snacks,Pretzels,4.0,223.05,892.2,Debit Card,Kathmandu,2024-01-06 03:00:00,Cloudy,Light,Rock,David,Festival
TX00125,Guest,Dairy Products,Milk,1.0,1653.16,1653.16,Debit Card,Pokhara,2024-01-06 04:00:00,Snowy,Moderate,Rock,David,Festival
TX00126,Member,,Hat,2.0,364.83,729.66,Cash,Chitwan,2024-01-06 05:00:00,,Light,Classical,David,Sports Event
TX00127,Guest,Toys & Games,Board Game,1.0,1484.96,1484.96,Credit Card,,2024-01-06 06:00:00,Sunny,Light,Pop,Sarah,Political Rally
TX00128,Guest,Stationery,Eraser,4.0,856.68,3426.72,Cash,,2024-01-06 07:00:00,Cloudy,Light,Rock,Emily,Concert
TX00129,Guest,Beverages,,1.0,1818.01,1818.01,Credit Card,Pokhara,2024-01-06 08:00:00,Cloudy,Heavy,Classical,Michael,Festival
TX00130,Member,Meat & Seafood,Lamb Chops,4.0,,7385.76,Mobile Payment,Chitwan,2024-01-06 09:00:00,Snowy,Heavy,Rock,Sarah,Political Rally
TX00131,Regular,Meat & Seafood,Lamb Chops,,776.71,2330.13,Credit Card,Kathmandu,,Windy,Heavy,No Music,Sarah,
TX00132,Guest,Frozen Foods,Frozen Meat,2.0,1875.7,3751.4,Cash,Kathmandu,2024-01-06 11:00:00,Windy,,No Music,John,Concert
TX00133,Regular,Stationery,Scissors,3.0,372.21,1116.6299999999999,,Chitwan,2024-01-06 12:00:00,Sunny,Light,Pop,John,Sports Event
TX00134,Regular,Meat & Seafood,Lamb Chops,2.0,1872.02,3744.04,Mobile Payment,Chitwan,2024-01-06 13:00:00,Snowy,Moderate,Rock,John,Festival
TX00135,Guest,Sports & Fitness,Dumbbells,1.0,1384.88,1384.88,Cash,Chitwan,,Cloudy,Heavy,Classical,Michael,Festival
TX00136,Regular,Stationery,Stapler,4.0,998.89,3995.56,Credit Card,Bhairahawa,2024-01-06 15:00:00,Windy,Heavy,Pop,Emily,None
TX00137,Member,Bakery,Bread,3.0,314.6,943.8000000000001,,Biratnagar,2024-01-06 16:00:00,Windy,Light,Pop,David,Festival
TX00138,Guest,Clothing,,1.0,159.93,159.93,Mobile Payment,Chitwan,2024-01-06 17:00:00,Sunny,Heavy,Rock,Sarah,Concert
TX00139,Member,Bakery,Croissant,3.0,323.07,969.21,Mobile Payment,Biratnagar,2024-01-06 18:00:00,Snowy,Heavy,Jazz,Emily,Concert
TX00140,Guest,Dairy Products,Ghee,3.0,1202.57,3607.71,Debit Card,Chitwan,2024-01-06 19:00:00,Windy,Heavy,,Sarah,Concert
TX00141,Member,Grocery,Sugar,5.0,634.06,3170.2999999999997,Debit Card,Biratnagar,2024-01-06 20:00:00,Cloudy,Moderate,Rock,David,Political Rally
TX00142,Member,Frozen Foods,Frozen Berries,5.0,,2081.8,Cash,Chitwan,2024-01-06 21:00:00,Sunny,Light,Rock,David,Sports Event
TX00143,Regular,Sports & Fitness,Yoga Mat,1.0,1100.64,1100.64,Debit Card,Biratnagar,2024-01-06 22:00:00,Sunny,Heavy,Pop,David,Concert
TX00144,Guest,Snacks,Pretzels,3.0,878.57,2635.71,Cash,Chitwan,2024-01-06 23:00:00,Windy,Moderate,Jazz,Michael,Festival
TX00145,Guest,Dairy Products,Butter,2.0,577.94,1155.88,Debit Card,Biratnagar,2024-01-07 00:00:00,Sunny,Heavy,Classical,Sarah,Sports Event
TX00146,Guest,Beverages,Milkshake,1.0,1431.72,1431.72,Cash,Biratnagar,2024-01-07 01:00:00,Windy,Heavy,No Music,David,Sports Event
TX00147,Guest,Frozen Foods,Frozen Meat,1.0,765.94,765.94,Credit Card,Chitwan,2024-01-07 02:00:00,Snowy,Light,Jazz,John,Sports Event
TX00148,Guest,Personal Care,Cotton Swabs,3.0,484.57,1453.71,,Biratnagar,2024-01-07 03:00:00,Sunny,Moderate,No Music,Michael,Concert
TX00149,Guest,Grocery,Pasta,4.0,407.31,1629.24,Mobile Payment,Bhairahawa,2024-01-07 04:00:00,Sunny,Heavy,Rock,John,None
TX00150,Regular,Dairy Products,Butter,3.0,655.5,1966.5,Mobile Payment,Biratnagar,2024-01-07 05:00:00,Windy,Heavy,Jazz,John,None
TX00151,Member,Toys & Games,Yo-Yo,4.0,329.75,1319.0,Cash,Bhairahawa,2024-01-07 06:00:00,Windy,Moderate,Rock,Emily,None
TX00152,Member,Frozen Foods,Frozen Berries,3.0,1662.9,4988.700000000001,Cash,,2024-01-07 07:00:00,Rainy,Heavy,Rock,Emily,Sports Event
TX00153,Member,Beverages,Iced Tea,5.0,1984.95,9924.75,Mobile Payment,Biratnagar,2024-01-07 08:00:00,Windy,Moderate,Pop,John,None
TX00154,Regular,,Ice Cream,4.0,1602.06,6408.24,Mobile Payment,Bhairahawa,2024-01-07 09:00:00,,Light,Pop,Michael,
TX00155,Member,Sports & Fitness,Yoga Mat,4.0,799.59,3198.36,Credit Card,Kathmandu,2024-01-07 10:00:00,Rainy,Heavy,Pop,Emily,Political Rally
TX00156,Regular,Stationery,,5.0,1204.31,6021.549999999999,Debit Card,Biratnagar,2024-01-07 11:00:00,Snowy,Light,Classical,Emily,Political Rally
TX00157,Guest,Beverages,Milkshake,3.0,315.51,946.53,Debit Card,Pokhara,2024-01-07 12:00:00,Snowy,Moderate,No Music,John,None
TX00158,Guest,Grocery,Spices,4.0,1513.17,6052.68,Cash,Kathmandu,2024-01-07 13:00:00,Rainy,Light,Pop,David,
TX00159,Member,Dairy Products,Ghee,2.0,404.92,809.84,Cash,Biratnagar,2024-01-07 14:00:00,Sunny,Heavy,Pop,Michael,Concert
TX00160,Guest,Personal Care,Toothpaste,3.0,1463.35,4390.049999999999,Debit Card,Kathmandu,,Windy,Light,Pop,Sarah,Festival
TX00161,Guest,Frozen Foods,Fish Sticks,1.0,812.06,,Mobile Payment,Kathmandu,2024-01-07 16:00:00,Windy,Heavy,Rock,David,Sports Event
TX00162,Regular,Household Items,Bucket,4.0,152.97,611.88,Credit Card,Kathmandu,2024-01-07 17:00:00,Windy,,Rock,John,
TX00163,Member,Snacks,Pretzels,1.0,608.04,608.04,Mobile Payment,Kathmandu,2024-01-07 18:00:00,Windy,Moderate,Rock,Sarah,Political Rally
TX00164,Regular,Sports & Fitness,Swimming Goggles,5.0,648.25,3241.25,Credit Card,Pokhara,2024-01-07 19:00:00,Windy,Light,Jazz,David,Sports Event
TX00165,Guest,,Coffee,1.0,1679.11,1679.11,Cash,Biratnagar,2024-01-07 20:00:00,,Light,Classical,David,None
TX00166,Regular,Clothing,Trousers,1.0,361.22,361.22,Mobile Payment,Pokhara,2024-01-07 21:00:00,Windy,Moderate,Rock,Sarah,Concert
TX00167,Guest,Snacks,Candy,4.0,635.16,2540.64,Cash,Biratnagar,2024-01-07 22:00:00,Windy,Moderate,Pop,Emily,Concert
TX00168,Member,Snacks,Chips,4.0,616.23,2464.92,Cash,Chitwan,2024-01-07 23:00:00,Snowy,Heavy,Classical,David,Festival
TX00169,Guest,,Fish Sticks,4.0,689.25,2757.0,Mobile Payment,Biratnagar,2024-01-08 00:00:00,,Light,Rock,Sarah,None
TX00170,Guest,Grocery,Spices,4.0,953.93,3815.72,Debit Card,Biratnagar,2024-01-08 01:00:00,Sunny,Light,Classical,David,None
TX00171,Regular,Clothing,Jeans,5.0,371.9,1859.5,,Pokhara,2024-01-08 02:00:00,Sunny,Heavy,Classical,Sarah,Political Rally
TX00172,Guest,Stationery,,5.0,451.67,2258.35,Cash,Pokhara,2024-01-08 03:00:00,Sunny,Moderate,Rock,John,Festival
TX00173,Guest,Stationery,Pen,3.0,1006.29,3018.87,Credit Card,Bhairahawa,2024-01-08 04:00:00,Cloudy,Light,Rock,Emily,None
TX00174,,Grocery,Oil,4.0,743.53,2974.12,Mobile Payment,Pokhara,2024-01-08 05:00:00,Cloudy,Light,Rock,Emily,Political Rally
TX00175,Member,Fresh Produce,Apple,2.0,139.37,278.74,,Bhairahawa,2024-01-08 06:00:00,Rainy,Moderate,No Music,Sarah,Sports Event
TX00176,Regular,,Paneer,4.0,1531.31,6125.24,Cash,Pokhara,2024-01-08 07:00:00,,Moderate,Rock,Sarah,Sports Event
